,cell_line,drug,min_dose,max_dose,time,alpha,beta,gamma,delta,mape,auc,auc_norm
71,LN308,Drug16,-2.363612413940753,0.9995654886602768,120,5.542347061607384,1.063994302529353,-3.036247994460959,0.1217532204461546,0.1938705436731834,0.7987965615759727,0.2383256197792541
72,LN308,Drug17,-2.363612413940753,0.9995654886602768,72,2.9346692432855783,8.907396810306773,-2.4472362683125524,0.6519118738606504,0.1681508648466782,2.2109116814976035,0.6573668304979277
73,LN308,Drug17,-2.363612413940753,0.9995654886602768,120,3.012564106788121,11.47858586184186,-2.4495959705102432,0.7926173520293763,0.0268886958899495,2.6739507128533395,0.7950640468195219
74,LN308,Drug18,-2.363612413940753,0.9995654886602768,72,1.1790297739138973,10.470983450136073,0.9746463010672178,0.2731093433942815,0.0733446904856169,3.926284708675941,0.9901640979280272
75,LN308,Drug18,-2.363612413940753,0.9995654886602768,120,0.9490044554460636,13.188724873895392,-0.425028237761675,1.1009233808894652,0.0334505404862257,3.4080935621375588,1.0678086058124612
76,T98G,Drug00,-2.363612413940753,0.9995654886602768,72,0.9661873401799148,0.6401004445793496,1.1923621518587406,4.085738047070316e-18,0.0364846582901174,2.885081899633437,0.892565791914353
77,T98G,Drug00,-2.363612413940753,0.9995654886602768,120,1.06598112808024,12.167924301489212,0.979388078013518,0.0380978224352893,0.0534536417189928,3.5478382114974867,0.9896108539609454
78,T98G,Drug01,-2.363612413940753,0.9995654886602768,72,1.000867833999333,13.40718985229417,-0.3307611841020938,0.9228730409359116,0.0395302226866305,3.2623380291818616,0.9691754080732056
79,T98G,Drug01,-2.363612413940753,0.9995654886602768,120,1.0543324368403155,32.56270033554767,0.8546208911010549,1.192089209092101,0.0392966021947731,3.5658746885175083,1.0056310365227998
80,T98G,Drug02,-2.363612413940753,0.9995654886602768,72,1.0741115082549466,13.809836202932653,-0.330035649586331,0.8977270959565858,0.0704321974663236,3.3779071741316407,0.9350794231605573
81,T98G,Drug02,-2.363612413940753,0.9995654886602768,120,1.7284709761491597,0.1666652153016143,-3.036247994460908,0.3887963940164329,0.0351567314211369,2.6330851224417144,0.8049243653509532
82,T98G,Drug03,-2.363612413940753,0.9995654886602768,72,0.9905297399095092,6.798258403597619,-1.433182291816681,1.0940201551517117,0.0683098903012773,3.5830938079879617,1.075575241470804
83,T98G,Drug03,-2.363612413940753,0.9995654886602768,120,0.9775599637593888,1.4580990397353522,1.1873513613570854,2.07276737835881e-13,0.026882409892952,3.16344139883519,0.9622090363752148
84,T98G,Drug04,-2.363612413940753,0.9995654886602768,72,0.9859307794818938,6.904443089864461,-0.6663996885502078,1.0823475890068055,0.0329693566121804,3.4764876582139608,1.0484420384350364
85,T98G,Drug04,-2.363612413940753,0.9995654886602768,120,0.9741363762349772,1.0683917747403735,-1.6972330229617,1.1796038030702434,0.0595389616171791,3.815591213407458,1.1260335267706023
86,T98G,Drug05,-2.363612413940753,0.9995654886602768,72,1.060233739264979,10.982849788438497,0.3657557305815039,1.2371221978539166,0.0399547271864559,3.677868315398344,1.0314417681141863
87,T98G,Drug05,-2.363612413940753,0.9995654886602768,120,1.0840922232166472e-05,9.118442527044078,-2.4405368264309324,1.1988681524970657,0.0480462643358286,4.021650232990442,1.195788373076993
88,T98G,Drug06,-2.363612413940753,0.9995654886602768,72,0.9533670237089452,10.658396488809162,0.3699825634500898,0.6028424263361518,0.031233195294472,2.98565860305165,0.9311725818037784
89,T98G,Drug06,-2.363612413940753,0.9995654886602768,120,1.0798345717029665,10.584211530244623,0.4042704070566133,0.7350140938712876,0.0678819003423516,3.426405828447351,0.9434778998545332
90,T98G,Drug07,-2.363612413940753,0.9995654886602768,72,1.0737871530052754,2.945528726295166,0.97488584860061,1.0452151915752328e-13,0.0352642368849837,3.487793113609165,0.9657899267602756
